headline,label,date
Unemployment claims rise unexpectedly,0,2023-03-27
Geopolitical tensions trigger global selloff,0,2021-05-13
Unemployment claims rise unexpectedly,0,2021-03-01
Federal Reserve hints at aggressive rate hikes,0,2021-10-10
Markets tumble as inflation surges past forecast,0,2021-01-01
Positive job report boosts investor confidence,1,2023-04-12
Federal Reserve signals interest rate pause to support markets,1,2022-04-04
Tech stocks rally as earnings exceed expectations,1,2021-11-28
"Oil prices fall, reducing inflation fears",1,2022-03-16
Federal Reserve signals interest rate pause to support markets,1,2021-05-01
Federal Reserve signals interest rate pause to support markets,1,2021-06-19
Geopolitical tensions trigger global selloff,0,2022-09-15
Positive job report boosts investor confidence,1,2022-05-26
"Oil prices fall, reducing inflation fears",1,2021-09-16
Markets tumble as inflation surges past forecast,0,2021-04-13
Tech stocks rally as earnings exceed expectations,1,2022-10-26
Geopolitical tensions trigger global selloff,0,2021-09-09
Federal Reserve signals interest rate pause to support markets,1,2021-09-23
Markets tumble as inflation surges past forecast,0,2021-12-21
Economic indicators point to sustained recovery,1,2021-01-09
Geopolitical tensions trigger global selloff,0,2023-04-03
Federal Reserve signals interest rate pause to support markets,1,2022-05-31
Markets tumble as inflation surges past forecast,0,2021-11-14
"Oil prices fall, reducing inflation fears",1,2022-12-19
"Oil prices fall, reducing inflation fears",1,2022-06-23
Federal Reserve hints at aggressive rate hikes,0,2022-04-29
Markets tumble as inflation surges past forecast,0,2022-11-09
"Oil prices fall, reducing inflation fears",1,2021-08-04
Unemployment claims rise unexpectedly,0,2023-05-02
Geopolitical tensions trigger global selloff,0,2023-03-22
"Oil prices fall, reducing inflation fears",1,2022-02-25
Tech stocks rally as earnings exceed expectations,1,2021-10-24
Federal Reserve hints at aggressive rate hikes,0,2022-06-07
Positive job report boosts investor confidence,1,2023-05-26
"Oil prices fall, reducing inflation fears",1,2023-05-16
Markets tumble as inflation surges past forecast,0,2023-01-20
Geopolitical tensions trigger global selloff,0,2021-08-06
"Oil prices fall, reducing inflation fears",1,2023-02-15
Geopolitical tensions trigger global selloff,0,2021-10-18
Economic indicators point to sustained recovery,1,2021-07-22
"Oil prices fall, reducing inflation fears",1,2023-03-24
Federal Reserve signals interest rate pause to support markets,1,2022-04-01
Unemployment claims rise unexpectedly,0,2021-05-03
Positive job report boosts investor confidence,1,2022-12-01
Disappointing earnings drag tech sector down,0,2022-09-17
Economic indicators point to sustained recovery,1,2023-01-02
"Oil prices fall, reducing inflation fears",1,2022-03-13
Geopolitical tensions trigger global selloff,0,2022-07-31
Positive job report boosts investor confidence,1,2021-07-07
Markets tumble as inflation surges past forecast,0,2022-01-08
Tech stocks rally as earnings exceed expectations,1,2022-05-18
Federal Reserve hints at aggressive rate hikes,0,2021-05-25
Positive job report boosts investor confidence,1,2022-01-09
Economic indicators point to sustained recovery,1,2022-07-18
Geopolitical tensions trigger global selloff,0,2022-08-08
Positive job report boosts investor confidence,1,2023-03-26
Markets tumble as inflation surges past forecast,0,2021-12-16
Federal Reserve signals interest rate pause to support markets,1,2023-02-11
"Oil prices fall, reducing inflation fears",1,2021-07-19
Positive job report boosts investor confidence,1,2022-02-23
Tech stocks rally as earnings exceed expectations,1,2021-01-26
Markets tumble as inflation surges past forecast,0,2022-09-17
Unemployment claims rise unexpectedly,0,2021-09-14
Markets tumble as inflation surges past forecast,0,2021-06-06
Geopolitical tensions trigger global selloff,0,2021-01-07
Federal Reserve signals interest rate pause to support markets,1,2021-05-09
Geopolitical tensions trigger global selloff,0,2022-05-29
Disappointing earnings drag tech sector down,0,2021-06-25
Positive job report boosts investor confidence,1,2022-08-28
Positive job report boosts investor confidence,1,2022-05-14
Economic indicators point to sustained recovery,1,2022-07-15
Markets tumble as inflation surges past forecast,0,2022-11-30
Federal Reserve signals interest rate pause to support markets,1,2023-03-30
Markets tumble as inflation surges past forecast,0,2022-02-02
Unemployment claims rise unexpectedly,0,2021-10-05
"Oil prices fall, reducing inflation fears",1,2021-12-28
Markets tumble as inflation surges past forecast,0,2022-03-03
Federal Reserve signals interest rate pause to support markets,1,2023-04-18
Positive job report boosts investor confidence,1,2023-03-27
Positive job report boosts investor confidence,1,2022-07-29
Geopolitical tensions trigger global selloff,0,2023-06-01
Tech stocks rally as earnings exceed expectations,1,2021-06-02
Positive job report boosts investor confidence,1,2022-07-02
Positive job report boosts investor confidence,1,2022-04-19
Federal Reserve signals interest rate pause to support markets,1,2021-09-11
Disappointing earnings drag tech sector down,0,2023-01-12
Disappointing earnings drag tech sector down,0,2021-02-08
Federal Reserve signals interest rate pause to support markets,1,2022-04-30
Economic indicators point to sustained recovery,1,2021-12-26
Geopolitical tensions trigger global selloff,0,2021-01-27
Disappointing earnings drag tech sector down,0,2023-06-19
Markets tumble as inflation surges past forecast,0,2022-12-09
Positive job report boosts investor confidence,1,2022-07-31
Economic indicators point to sustained recovery,1,2021-05-20
Geopolitical tensions trigger global selloff,0,2022-03-05
Federal Reserve signals interest rate pause to support markets,1,2023-06-03
"Oil prices fall, reducing inflation fears",1,2021-04-04
Disappointing earnings drag tech sector down,0,2022-12-12
Federal Reserve hints at aggressive rate hikes,0,2022-12-09
Positive job report boosts investor confidence,1,2021-12-19
Economic indicators point to sustained recovery,1,2023-03-18
Positive job report boosts investor confidence,1,2023-03-25
Federal Reserve hints at aggressive rate hikes,0,2022-03-04
Disappointing earnings drag tech sector down,0,2022-07-29
"Oil prices fall, reducing inflation fears",1,2022-08-15
Markets tumble as inflation surges past forecast,0,2022-10-08
Geopolitical tensions trigger global selloff,0,2021-11-19
"Oil prices fall, reducing inflation fears",1,2021-06-18
Federal Reserve signals interest rate pause to support markets,1,2022-08-29
"Oil prices fall, reducing inflation fears",1,2023-02-20
Disappointing earnings drag tech sector down,0,2021-01-27
Economic indicators point to sustained recovery,1,2023-01-24
Federal Reserve hints at aggressive rate hikes,0,2022-07-04
Geopolitical tensions trigger global selloff,0,2021-01-04
Federal Reserve hints at aggressive rate hikes,0,2021-07-09
Markets tumble as inflation surges past forecast,0,2022-02-18
Disappointing earnings drag tech sector down,0,2021-05-05
"Oil prices fall, reducing inflation fears",1,2023-02-10
Markets tumble as inflation surges past forecast,0,2022-12-21
Federal Reserve hints at aggressive rate hikes,0,2021-05-07
Geopolitical tensions trigger global selloff,0,2023-03-14
Federal Reserve signals interest rate pause to support markets,1,2022-03-20
Positive job report boosts investor confidence,1,2022-07-11
Economic indicators point to sustained recovery,1,2023-05-22
Federal Reserve hints at aggressive rate hikes,0,2021-02-13
Economic indicators point to sustained recovery,1,2021-01-20
Economic indicators point to sustained recovery,1,2021-08-29
Federal Reserve signals interest rate pause to support markets,1,2022-06-26
"Oil prices fall, reducing inflation fears",1,2022-04-01
Disappointing earnings drag tech sector down,0,2021-09-11
Geopolitical tensions trigger global selloff,0,2023-04-30
"Oil prices fall, reducing inflation fears",1,2022-08-31
Federal Reserve hints at aggressive rate hikes,0,2023-06-12
Unemployment claims rise unexpectedly,0,2021-09-09
Federal Reserve signals interest rate pause to support markets,1,2022-05-10
Markets tumble as inflation surges past forecast,0,2023-03-07
Tech stocks rally as earnings exceed expectations,1,2021-09-25
Disappointing earnings drag tech sector down,0,2023-02-03
Positive job report boosts investor confidence,1,2021-06-06
Economic indicators point to sustained recovery,1,2022-11-09
Geopolitical tensions trigger global selloff,0,2023-05-04
Positive job report boosts investor confidence,1,2021-07-05
Unemployment claims rise unexpectedly,0,2022-09-06
Economic indicators point to sustained recovery,1,2022-08-10
Markets tumble as inflation surges past forecast,0,2022-12-25
Economic indicators point to sustained recovery,1,2021-02-03
Disappointing earnings drag tech sector down,0,2022-07-06
"Oil prices fall, reducing inflation fears",1,2021-03-29
Federal Reserve signals interest rate pause to support markets,1,2021-08-06
Economic indicators point to sustained recovery,1,2021-07-12
Markets tumble as inflation surges past forecast,0,2021-10-25
Federal Reserve signals interest rate pause to support markets,1,2022-09-21
Federal Reserve hints at aggressive rate hikes,0,2021-08-20
Federal Reserve hints at aggressive rate hikes,0,2022-11-08
Positive job report boosts investor confidence,1,2021-10-27
Unemployment claims rise unexpectedly,0,2021-05-16
Geopolitical tensions trigger global selloff,0,2022-10-10
"Oil prices fall, reducing inflation fears",1,2022-12-19
Disappointing earnings drag tech sector down,0,2022-07-15
"Oil prices fall, reducing inflation fears",1,2022-10-06
"Oil prices fall, reducing inflation fears",1,2021-09-24
"Oil prices fall, reducing inflation fears",1,2021-03-06
Markets tumble as inflation surges past forecast,0,2022-04-16
Tech stocks rally as earnings exceed expectations,1,2021-12-12
Federal Reserve signals interest rate pause to support markets,1,2023-05-12
Markets tumble as inflation surges past forecast,0,2021-11-02
Unemployment claims rise unexpectedly,0,2021-12-01
Federal Reserve hints at aggressive rate hikes,0,2021-08-07
Unemployment claims rise unexpectedly,0,2021-10-12
Federal Reserve hints at aggressive rate hikes,0,2021-07-16
Federal Reserve hints at aggressive rate hikes,0,2022-06-08
Unemployment claims rise unexpectedly,0,2022-04-24
Unemployment claims rise unexpectedly,0,2021-01-16
Disappointing earnings drag tech sector down,0,2023-01-08
Federal Reserve hints at aggressive rate hikes,0,2022-03-14
Positive job report boosts investor confidence,1,2021-10-25
Federal Reserve hints at aggressive rate hikes,0,2022-01-13
Tech stocks rally as earnings exceed expectations,1,2021-03-13
Federal Reserve hints at aggressive rate hikes,0,2022-06-25
"Oil prices fall, reducing inflation fears",1,2021-05-09
Disappointing earnings drag tech sector down,0,2021-02-04
Geopolitical tensions trigger global selloff,0,2022-01-21
Markets tumble as inflation surges past forecast,0,2021-04-06
Unemployment claims rise unexpectedly,0,2023-03-22
Geopolitical tensions trigger global selloff,0,2023-03-21
Federal Reserve signals interest rate pause to support markets,1,2022-07-13
Economic indicators point to sustained recovery,1,2022-02-03
Federal Reserve signals interest rate pause to support markets,1,2022-04-04
Geopolitical tensions trigger global selloff,0,2021-07-30
Federal Reserve signals interest rate pause to support markets,1,2022-12-08
Geopolitical tensions trigger global selloff,0,2021-03-25
Federal Reserve hints at aggressive rate hikes,0,2022-06-14
Disappointing earnings drag tech sector down,0,2021-09-18
Markets tumble as inflation surges past forecast,0,2022-11-25
Unemployment claims rise unexpectedly,0,2021-12-12
Unemployment claims rise unexpectedly,0,2022-08-01
Positive job report boosts investor confidence,1,2023-04-21
Positive job report boosts investor confidence,1,2021-09-22
Geopolitical tensions trigger global selloff,0,2022-05-06
Disappointing earnings drag tech sector down,0,2022-05-03
"Oil prices fall, reducing inflation fears",1,2022-01-03
Markets tumble as inflation surges past forecast,0,2022-08-11
Markets tumble as inflation surges past forecast,0,2021-08-13
Markets tumble as inflation surges past forecast,0,2021-01-28
Positive job report boosts investor confidence,1,2021-12-17
Disappointing earnings drag tech sector down,0,2022-04-11
Geopolitical tensions trigger global selloff,0,2022-11-28
Federal Reserve signals interest rate pause to support markets,1,2022-02-28
Federal Reserve signals interest rate pause to support markets,1,2023-02-05
Markets tumble as inflation surges past forecast,0,2023-02-19
Geopolitical tensions trigger global selloff,0,2021-07-11
"Oil prices fall, reducing inflation fears",1,2023-04-24
Economic indicators point to sustained recovery,1,2023-03-13
Federal Reserve signals interest rate pause to support markets,1,2022-06-13
"Oil prices fall, reducing inflation fears",1,2022-12-11
Geopolitical tensions trigger global selloff,0,2022-10-26
Economic indicators point to sustained recovery,1,2023-02-05
Tech stocks rally as earnings exceed expectations,1,2021-11-30
Unemployment claims rise unexpectedly,0,2022-01-16
Unemployment claims rise unexpectedly,0,2022-06-12
Federal Reserve signals interest rate pause to support markets,1,2023-01-04
"Oil prices fall, reducing inflation fears",1,2022-04-24
Unemployment claims rise unexpectedly,0,2021-09-11
Disappointing earnings drag tech sector down,0,2022-05-05
Federal Reserve hints at aggressive rate hikes,0,2022-04-04
Federal Reserve hints at aggressive rate hikes,0,2022-09-13
Disappointing earnings drag tech sector down,0,2022-02-01
"Oil prices fall, reducing inflation fears",1,2022-03-25
Tech stocks rally as earnings exceed expectations,1,2021-08-12
Federal Reserve hints at aggressive rate hikes,0,2022-04-30
Federal Reserve signals interest rate pause to support markets,1,2021-08-07
Disappointing earnings drag tech sector down,0,2021-04-02
Markets tumble as inflation surges past forecast,0,2021-04-11
Disappointing earnings drag tech sector down,0,2023-04-10
Federal Reserve hints at aggressive rate hikes,0,2021-10-31
Federal Reserve hints at aggressive rate hikes,0,2021-11-23
Unemployment claims rise unexpectedly,0,2021-02-10
Geopolitical tensions trigger global selloff,0,2022-05-28
Federal Reserve signals interest rate pause to support markets,1,2022-09-02
Economic indicators point to sustained recovery,1,2023-01-15
Positive job report boosts investor confidence,1,2022-07-15
Federal Reserve signals interest rate pause to support markets,1,2023-04-20
Federal Reserve hints at aggressive rate hikes,0,2022-01-10
Markets tumble as inflation surges past forecast,0,2022-03-22
"Oil prices fall, reducing inflation fears",1,2021-02-23
Geopolitical tensions trigger global selloff,0,2022-11-06
Tech stocks rally as earnings exceed expectations,1,2022-12-20
"Oil prices fall, reducing inflation fears",1,2023-01-21
Positive job report boosts investor confidence,1,2022-04-27
Markets tumble as inflation surges past forecast,0,2021-04-27
Economic indicators point to sustained recovery,1,2023-01-12
Positive job report boosts investor confidence,1,2022-04-10
Disappointing earnings drag tech sector down,0,2023-03-30
Federal Reserve signals interest rate pause to support markets,1,2023-01-25
Geopolitical tensions trigger global selloff,0,2023-02-23
Disappointing earnings drag tech sector down,0,2021-04-24
"Oil prices fall, reducing inflation fears",1,2021-05-13
Economic indicators point to sustained recovery,1,2023-04-04
Markets tumble as inflation surges past forecast,0,2021-02-15
Unemployment claims rise unexpectedly,0,2023-04-04
Disappointing earnings drag tech sector down,0,2021-06-27
Positive job report boosts investor confidence,1,2021-01-12
