headline,label,date
netflix sales fall 23% in line with forecasts,0,2022-01-01
google profit down 18% missing targets,1,2022-01-04
paypal earnings up 4% missing targets,1,2022-01-04
microsoft revenue fall 6% missing targets,1,2022-01-15
jpmorgan announces weak quarterly results,1,2022-01-24
meta earnings decline 5% missing targets,0,2022-01-24
intel profit fall 8% missing targets,1,2022-01-26
amazon growth down 23% missing targets,0,2022-01-28
microsoft growth rise 11% in line with forecasts,1,2022-02-01
apple stock plunges after regulatory,0,2022-02-02
netflix growth surge 22% in line with forecasts,1,2022-02-04
google profit up 3% beating expectations,1,2022-02-05
visa growth down 12% beating expectations,1,2022-02-11
goldman sachs stock falls after earnings report,0,2022-02-26
paypal sales rise 19% missing targets,1,2022-03-06
goldman sachs revenue fall 9% beating expectations,0,2022-03-15
goldman sachs profit fall 6% in line with forecasts,0,2022-03-16
netflix announces weak quarterly results,1,2022-03-17
jpmorgan stock rises after regulatory,1,2022-03-18
intel sales rise 4% in line with forecasts,0,2022-03-31
goldman sachs revenue surge 16% in line with forecasts,1,2022-03-31
intel mixed quarterly results,1,2022-04-05
microsoft reveals mixed quarterly results,1,2022-04-07
netflix profit fall 20% beating expectations,1,2022-04-10
apple revenue up 21% beating expectations,1,2022-04-12
nvidia stock plunges after product launch,0,2022-04-13
microsoft profit surge 1% missing targets,1,2022-04-21
nvidia profit down 16% missing targets,1,2022-05-08
goldman sachs growth up 12% beating expectations,1,2022-05-09
google earnings up 18% missing targets,0,2022-05-11
goldman sachs profit rise 9% beating expectations,0,2022-05-18
meta stock drops after product launch,1,2022-06-04
apple sales decline 18% missing targets,0,2022-06-05
amazon profit decline 12% missing targets,0,2022-06-14
microsoft earnings fall 4% in line with forecasts,0,2022-06-15
microsoft growth up 20% beating expectations,0,2022-06-17
paypal profit fall 4% in line with forecasts,0,2022-06-28
amazon sales decline 3% missing targets,1,2022-07-04
apple earnings fall 3% in line with forecasts,0,2022-07-06
paypal growth up 3% missing targets,0,2022-07-08
microsoft weak quarterly results,0,2022-07-14
meta growth fall 1% beating expectations,1,2022-07-18
jpmorgan earnings down 20% beating expectations,0,2022-07-23
microsoft earnings surge 23% missing targets,0,2022-07-25
intel growth surge 15% beating expectations,1,2022-07-27
paypal revenue down 19% in line with forecasts,0,2022-07-27
netflix strong quarterly results,1,2022-08-02
nvidia sales decline 13% in line with forecasts,0,2022-08-13
nvidia growth rise 18% missing targets,0,2022-08-13
google profit fall 22% missing targets,0,2022-08-18
intel earnings fall 13% missing targets,0,2022-08-24
visa stock jumps after regulatory,1,2022-08-25
tesla revenue fall 15% missing targets,0,2022-08-25
netflix revenue down 12% missing targets,1,2022-08-28
goldman sachs revenue decline 16% missing targets,0,2022-09-03
goldman sachs stock jumps after regulatory,1,2022-09-05
nvidia revenue fall 20% missing targets,1,2022-09-07
amazon sales up 2% beating expectations,0,2022-09-11
paypal stock falls after regulatory,0,2022-09-12
apple earnings surge 9% missing targets,1,2022-09-12
paypal earnings fall 11% beating expectations,0,2022-09-21
amazon strong quarterly results,0,2022-09-22
tesla earnings down 18% beating expectations,0,2022-09-29
jpmorgan earnings down 20% in line with forecasts,1,2022-10-04
meta profit down 23% missing targets,0,2022-10-06
paypal stock jumps after product launch,1,2022-10-24
amazon reveals weak quarterly results,0,2022-10-26
goldman sachs announces weak quarterly results,1,2022-11-06
apple earnings down 20% missing targets,0,2022-11-08
