headline,label,date
apple revenue surges 25% beating expectations,1,2024-01-01
microsoft profit jumps 30% exceeding targets,1,2024-01-02
google earnings soar 40% above forecasts,1,2024-01-03
amazon sales skyrocket 35% beating estimates,1,2024-01-04
netflix growth explodes 50% surpassing expectations,1,2024-01-05
tesla revenue climbs 45% exceeding targets,1,2024-01-06
nvidia profit rockets 60% beating forecasts,1,2024-01-07
meta earnings surge 55% above expectations,1,2024-01-08
paypal revenue jumps 40% exceeding estimates,1,2024-01-09
visa profit soars 35% beating targets,1,2024-01-10
jpmorgan earnings climb 30% above forecasts,1,2024-01-11
goldman sachs revenue surges 25% exceeding expectations,1,2024-01-12
intel profit jumps 20% beating estimates,1,2024-01-13
apple sales increase 15% above targets,1,2024-01-14
microsoft growth rises 18% exceeding forecasts,1,2024-01-15
google revenue up 12% beating expectations,1,2024-01-16
amazon profit grows 14% above targets,1,2024-01-17
netflix earnings rise 16% exceeding estimates,1,2024-01-18
tesla sales climb 22% beating forecasts,1,2024-01-19
nvidia revenue increases 28% above expectations,1,2024-01-20
meta profit up 19% exceeding targets,1,2024-01-21
paypal earnings grow 17% beating estimates,1,2024-01-22
visa revenue rises 13% above forecasts,1,2024-01-23
jpmorgan profit increases 11% exceeding expectations,1,2024-01-24
goldman sachs earnings up 9% beating targets,1,2024-01-25
intel sales climb 7% above estimates,1,2024-01-26
apple revenue grows 8% exceeding forecasts,1,2024-01-27
microsoft profit rises 6% beating expectations,1,2024-01-28
google earnings increase 5% above targets,1,2024-01-29
amazon sales up 4% exceeding estimates,1,2024-01-30
netflix profit grows 3% beating forecasts,1,2024-01-31
tesla revenue rises 2% above expectations,1,2024-02-01
nvidia earnings increase 1% exceeding targets,1,2024-02-02
meta sales up 0.5% beating estimates,1,2024-02-03
paypal revenue grows 0.3% above forecasts,1,2024-02-04
visa profit rises 0.1% exceeding expectations,1,2024-02-05
jpmorgan earnings stable beating targets,1,2024-02-06
goldman sachs revenue flat exceeding estimates,1,2024-02-07
intel profit unchanged beating forecasts,1,2024-02-08
apple sales decline 0.1% missing expectations,0,2024-02-09
microsoft revenue falls 0.5% below targets,0,2024-02-10
google earnings drop 1% missing estimates,0,2024-02-11
amazon profit decreases 2% below forecasts,0,2024-02-12
netflix sales decline 3% missing expectations,0,2024-02-13
tesla revenue falls 4% below targets,0,2024-02-14
nvidia earnings drop 5% missing estimates,0,2024-02-15
meta profit decreases 6% below forecasts,0,2024-02-16
paypal sales decline 7% missing expectations,0,2024-02-17
visa revenue falls 8% below targets,0,2024-02-18
jpmorgan earnings drop 9% missing estimates,0,2024-02-19
goldman sachs profit decreases 10% below forecasts,0,2024-02-20
intel sales decline 12% missing expectations,0,2024-02-21
apple revenue falls 15% below targets,0,2024-02-22
microsoft earnings drop 18% missing estimates,0,2024-02-23
google profit decreases 20% below forecasts,0,2024-02-24
amazon sales decline 25% missing expectations,0,2024-02-25
netflix revenue falls 30% below targets,0,2024-02-26
tesla earnings drop 35% missing estimates,0,2024-02-27
nvidia profit decreases 40% below forecasts,0,2024-02-28
meta sales decline 45% missing expectations,0,2024-02-29
paypal revenue falls 50% below targets,0,2024-03-01
visa earnings drop 55% missing estimates,0,2024-03-02
jpmorgan profit decreases 60% below forecasts,0,2024-03-03
goldman sachs sales decline 65% missing expectations,0,2024-03-04
intel revenue falls 70% below targets,0,2024-03-05
apple earnings drop 75% missing estimates,0,2024-03-06
microsoft profit decreases 80% below forecasts,0,2024-03-07
google sales decline 85% missing expectations,0,2024-03-08
amazon revenue falls 90% below targets,0,2024-03-09
netflix earnings drop 95% missing estimates,0,2024-03-10
tesla profit plummets 100% below forecasts,0,2024-03-11
nvidia sales crash 50% missing expectations,0,2024-03-12
meta revenue collapses 45% below targets,0,2024-03-13
paypal earnings plunge 40% missing estimates,0,2024-03-14
visa profit tanks 35% below forecasts,0,2024-03-15
jpmorgan sales plummet 30% missing expectations,0,2024-03-16
goldman sachs revenue crashes 25% below targets,0,2024-03-17
intel earnings collapse 20% missing estimates,0,2024-03-18
apple profit tanks 15% below forecasts,0,2024-03-19
microsoft sales plunge 10% missing expectations,0,2024-03-20
google revenue crashes 5% below targets,0,2024-03-21
amazon earnings collapse 3% missing estimates,0,2024-03-22
netflix profit tanks 2% below forecasts,0,2024-03-23
tesla sales plummet 1% missing expectations,0,2024-03-24
nvidia revenue crashes 0.5% below targets,0,2024-03-25
meta earnings collapse 0.1% missing estimates,0,2024-03-26
paypal profit tanks 0.05% below forecasts,0,2024-03-27
visa sales plummet 0.01% missing expectations,0,2024-03-28
jpmorgan revenue crashes 0.001% below targets,0,2024-03-29
goldman sachs earnings collapse 0.0001% missing estimates,0,2024-03-30
intel profit tanks 0.00001% below forecasts,0,2024-03-31 
